log_type,log_priority,log_function,log_date,log_date_gmt,log_host,log_username,log_user,log_url,log_referrer,log_data
four_oh_four,3,404 Error,2015-11-20 20:24:03,2015-11-20 18:24:03,166.216.165.60,,,/apple-touch-icon-120x120.png,,query_string=
four_oh_four,3,404 Error,2015-11-20 20:37:19,2015-11-20 18:37:19,185.92.73.125,,,/wp-includes/SimplePie/HTTP/mod.php,http://selectsifiso.net/wp-includes/SimplePie/HTTP/mod.php,query_string=
four_oh_four,3,404 Error,2015-11-21 00:38:22,2015-11-20 22:38:22,66.249.75.109,,,/apple-app-site-association,,query_string=
four_oh_four,3,404 Error,2015-11-23 12:34:26,2015-11-23 10:34:26,68.180.229.233,,,/,,query_string=page_id=1197
four_oh_four,3,404 Error,2015-11-23 21:38:51,2015-11-23 19:38:51,121.14.138.50,,,/,http://www.selectsifiso.net/,query_string=p=5
away_mode,5,Away Mode Triggered,2015-11-24 01:18:27,2015-11-23 23:18:27,197.231.221.211,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
four_oh_four,3,404 Error,2015-11-24 10:41:10,2015-11-24 08:41:10,40.77.167.55,,,/,,query_string=m=201106&paged=2
four_oh_four,3,404 Error,2015-11-25 12:12:47,2015-11-25 10:12:47,207.46.13.183,,,/,,query_string=m=201106&paged=2
four_oh_four,3,404 Error,2015-11-26 01:14:32,2015-11-25 23:14:32,1.82.229.201,,,/,http://www.selectsifiso.net/,query_string=p=3
four_oh_four,3,404 Error,2015-11-26 09:37:54,2015-11-26 07:37:54,122.96.59.106,,,http://www.selectsifiso.net/,http://www.selectsifiso.net/,query_string=p=459
four_oh_four,3,404 Error,2015-11-26 16:36:58,2015-11-26 14:36:58,195.154.251.131,,,/samplc.php,,query_string=
four_oh_four,3,404 Error,2015-11-26 16:37:13,2015-11-26 14:37:13,195.154.251.131,,,/tmp-upload-images/samplc.php,,query_string=
four_oh_four,3,404 Error,2015-11-26 16:37:24,2015-11-26 14:37:24,195.154.251.131,,,/components/com_creativecontactform/fileupload/files/samplc.php,,query_string=
four_oh_four,3,404 Error,2015-11-26 16:37:51,2015-11-26 14:37:51,195.154.251.131,,,/server/php/files/samplc.php,,query_string=
four_oh_four,3,404 Error,2015-11-26 22:27:59,2015-11-26 20:27:59,66.249.64.222,,,/author/feed/,,query_string=
four_oh_four,3,404 Error,2015-11-26 23:58:21,2015-11-26 21:58:21,185.92.73.100,,,/wp-config.php-s,http://selectsifiso.net/wp-config.php-s,query_string=
four_oh_four,3,404 Error,2015-11-27 06:44:13,2015-11-27 04:44:13,97.74.234.15,,,/.libs.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 06:44:18,2015-11-27 04:44:18,97.74.234.15,,,/wp-xmlrpc.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 06:44:22,2015-11-27 04:44:22,97.74.234.15,,,/wp-content.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 06:44:31,2015-11-27 04:44:31,97.74.234.15,,,/bogel.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 06:44:40,2015-11-27 04:44:40,97.74.234.15,,,/.libs.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 06:44:45,2015-11-27 04:44:45,97.74.234.15,,,/wp-xmlrpc.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 06:44:49,2015-11-27 04:44:49,97.74.234.15,,,/wp-content.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 06:44:57,2015-11-27 04:44:57,97.74.234.15,,,/bogel.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:09:29,2015-11-27 06:09:29,97.74.234.15,,,/.libs.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:09:34,2015-11-27 06:09:34,97.74.234.15,,,/wp-xmlrpc.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:09:37,2015-11-27 06:09:37,97.74.234.15,,,/wp-content.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:09:44,2015-11-27 06:09:44,97.74.234.15,,,/bogel.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:09:52,2015-11-27 06:09:52,97.74.234.15,,,/.libs.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:09:58,2015-11-27 06:09:58,97.74.234.15,,,/wp-xmlrpc.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:10:02,2015-11-27 06:10:02,97.74.234.15,,,/wp-content.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:10:10,2015-11-27 06:10:10,97.74.234.15,,,/bogel.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:24:23,2015-11-27 06:24:23,97.74.234.15,,,/.libs.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:24:28,2015-11-27 06:24:28,97.74.234.15,,,/wp-xmlrpc.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:24:31,2015-11-27 06:24:31,97.74.234.15,,,/wp-content.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:24:38,2015-11-27 06:24:38,97.74.234.15,,,/bogel.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:24:46,2015-11-27 06:24:46,97.74.234.15,,,/.libs.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:24:52,2015-11-27 06:24:52,97.74.234.15,,,/wp-xmlrpc.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:24:57,2015-11-27 06:24:57,97.74.234.15,,,/wp-content.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:25:03,2015-11-27 06:25:03,97.74.234.15,,,/bogel.php,,query_string=
four_oh_four,3,404 Error,2015-11-27 08:42:33,2015-11-27 06:42:33,188.143.233.220,,,/includer.php,http://selectsifiso.net/wp-content/plugins/akismet/akismet.php,query_string=
four_oh_four,3,404 Error,2015-11-27 08:42:36,2015-11-27 06:42:36,188.143.233.220,,,/wp-xmpp.php,http://selectsifiso.net/wp-content/plugins/akismet/akismet.php,query_string=
four_oh_four,3,404 Error,2015-11-27 08:42:38,2015-11-27 06:42:38,188.143.233.220,,,/old_site_bkp/beta/wp-content/uploads/2012/08/Root/eha.php,http://selectsifiso.net/wp-content/plugins/akismet/akismet.php,query_string=
four_oh_four,3,404 Error,2015-11-27 08:42:41,2015-11-27 06:42:41,188.143.233.220,,,/old_site_bkp/wp-content/upgrade/BoxTheme/satan.php,http://selectsifiso.net/wp-content/plugins/akismet/akismet.php,query_string=
four_oh_four,3,404 Error,2015-11-27 08:42:48,2015-11-27 06:42:48,188.143.233.220,,,/cpanel.php,http://selectsifiso.net/wp-content/plugins/akismet/akismet.php,query_string=
away_mode,5,Away Mode Triggered,2015-11-28 05:36:32,2015-11-28 03:36:32,46.148.18.226,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
four_oh_four,3,404 Error,2015-11-28 09:22:32,2015-11-28 07:22:32,66.249.64.232,,,/author/feed/,,query_string=
four_oh_four,3,404 Error,2015-11-28 19:44:14,2015-11-28 17:44:14,195.154.250.133,,,/uploadify/uploadify.php,http://selectsifiso.net/uploadify/uploadify.php,query_string=
four_oh_four,3,404 Error,2015-11-28 19:44:18,2015-11-28 17:44:18,195.154.250.133,,,/samplc.php,,query_string=
four_oh_four,3,404 Error,2015-11-28 19:44:32,2015-11-28 17:44:32,195.154.250.133,,,/php-ofc-library/ofc_upload_image.php,http://selectsifiso.net/php-ofc-library/ofc_upload_image.php?name=sample.php,query_string=name=sample.php
four_oh_four,3,404 Error,2015-11-28 19:44:33,2015-11-28 17:44:33,195.154.250.133,,,/tmp-upload-images/samplc.php,,query_string=
four_oh_four,3,404 Error,2015-11-28 19:44:36,2015-11-28 17:44:36,195.154.250.133,,,/components/com_creativecontactform/fileupload/index.php,http://selectsifiso.net/components/com_creativecontactform/fileupload/index.php,query_string=
